Date,VIX
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-19,
2010-01-20,
2010-01-21,
2010-01-22,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-08,
2010-02-09,
2010-02-10,
2010-02-11,
2010-02-12,
2010-02-16,
2010-02-17,
2010-02-18,
2010-02-19,
2010-02-22,
2010-02-23,
2010-02-24,
2010-02-25,
2010-02-26,
2010-03-01,
2010-03-02,
2010-03-03,
2010-03-04,
2010-03-05,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-15,
2010-03-16,
2010-03-17,
2010-03-18,
2010-03-19,
2010-03-22,
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-29,
2010-03-30,
2010-03-31,
2010-04-01,
2010-04-05,
2010-04-06,
2010-04-07,
2010-04-08,
2010-04-09,
2010-04-12,
2010-04-13,
2010-04-14,
2010-04-15,
2010-04-16,
2010-04-19,
2010-04-20,
2010-04-21,
2010-04-22,
2010-04-23,
2010-04-26,
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-03,
2010-05-04,
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-10,
2010-05-11,
2010-05-12,
2010-05-13,
2010-05-14,
2010-05-17,
2010-05-18,
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-06-01,
2010-06-02,
2010-06-03,
2010-06-04,
2010-06-07,
2010-06-08,
2010-06-09,
2010-06-10,
2010-06-11,
2010-06-14,
2010-06-15,
2010-06-16,
2010-06-17,
2010-06-18,
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-06,
2010-07-07,
2010-07-08,
2010-07-09,
2010-07-12,
2010-07-13,
2010-07-14,
2010-07-15,
2010-07-16,
2010-07-19,
2010-07-20,
2010-07-21,
2010-07-22,
2010-07-23,
2010-07-26,
2010-07-27,
2010-07-28,
2010-07-29,
2010-07-30,
2010-08-02,
2010-08-03,
2010-08-04,
2010-08-05,
2010-08-06,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,
2010-08-13,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-23,
2010-08-24,
2010-08-25,
2010-08-26,
2010-08-27,
2010-08-30,
2010-08-31,
2010-09-01,
2010-09-02,
2010-09-03,
2010-09-07,
2010-09-08,
2010-09-09,
2010-09-10,
2010-09-13,
2010-09-14,
2010-09-15,
2010-09-16,
2010-09-17,
2010-09-20,
2010-09-21,
2010-09-22,
2010-09-23,
2010-09-24,
2010-09-27,
2010-09-28,
2010-09-29,
2010-09-30,
2010-10-01,
2010-10-04,
2010-10-05,
2010-10-06,
2010-10-07,
2010-10-08,
2010-10-11,
2010-10-12,
2010-10-13,
2010-10-14,
2010-10-15,
2010-10-18,
2010-10-19,
2010-10-20,
2010-10-21,
2010-10-22,
2010-10-25,
2010-10-26,
2010-10-27,
2010-10-28,
2010-10-29,
2010-11-01,
2010-11-02,
2010-11-03,
2010-11-04,
2010-11-05,
2010-11-08,
2010-11-09,
2010-11-10,
2010-11-11,
2010-11-12,
2010-11-15,
2010-11-16,
2010-11-17,
2010-11-18,
2010-11-19,
2010-11-22,
2010-11-23,
2010-11-24,
2010-11-26,
2010-11-29,
2010-11-30,
2010-12-01,
2010-12-02,
2010-12-03,
2010-12-06,
2010-12-07,
2010-12-08,
2010-12-09,
2010-12-10,
2010-12-13,
2010-12-14,
2010-12-15,
2010-12-16,
2010-12-17,
2010-12-20,
2010-12-21,
2010-12-22,
2010-12-23,
2010-12-27,
2010-12-28,
2010-12-29,
2010-12-30,
2010-12-31,0.3
2011-01-03,0.3
2011-01-04,0.3
2011-01-05,0.3
2011-01-06,0.3
2011-01-07,0.3
2011-01-10,0.3
2011-01-11,0.3
2011-01-12,0.3
2011-01-13,0.3
2011-01-14,0.3
2011-01-18,0.3
2011-01-19,0.3
2011-01-20,0.3
2011-01-21,0.3
2011-01-24,0.3
2011-01-25,0.3
2011-01-26,0.3
2011-01-27,0.3
2011-01-28,0.3607293963835948
2011-01-31,0.32998956676203467
2011-02-01,0.3
2011-02-02,0.3
2011-02-03,0.3
2011-02-04,0.3
2011-02-07,0.3
2011-02-08,0.3
2011-02-09,0.3
2011-02-10,0.3
2011-02-11,0.3
2011-02-14,0.3
2011-02-15,0.3
2011-02-16,0.3
2011-02-17,0.3
2011-02-18,0.3
2011-02-22,0.4337289982753624
2011-02-23,0.5135957594766782
2011-02-24,0.4643775772134995
2011-02-25,0.3376084959878226
2011-02-28,0.3
2011-03-01,0.44546892116852976
2011-03-02,0.4262559094861935
2011-03-03,0.3
2011-03-04,0.3266444080071031
2011-03-07,0.4226494032815239
2011-03-08,0.37123660340656145
2011-03-09,0.3950180673906774
2011-03-10,0.49473090257035524
2011-03-11,0.38477530695806395
2011-03-14,0.44775442007099364
2011-03-15,0.640260044510104
2011-03-16,0.9456038190258655
2011-03-17,0.7593761741456457
2011-03-18,0.6404325497402115
2011-03-21,0.4061914647548275
2011-03-22,0.3806246704199572
2011-03-23,0.3165286288985633
2011-03-24,0.3
2011-03-25,0.3
2011-03-28,0.33252543850706284
2011-03-29,0.3
2011-03-30,0.3
2011-03-31,0.3
2011-04-01,0.3
2011-04-04,0.3
2011-04-05,0.3
2011-04-06,0.3
2011-04-07,0.3
2011-04-08,0.3
2011-04-11,0.3
2011-04-12,0.3
2011-04-13,0.3
2011-04-14,0.3
2011-04-15,0.3
2011-04-18,0.3
2011-04-19,0.3
2011-04-20,0.3
2011-04-21,0.3
2011-04-25,0.3
2011-04-26,0.3
2011-04-27,0.3
2011-04-28,0.3
2011-04-29,0.3
2011-05-02,0.3
2011-05-03,0.3
2011-05-04,0.3
2011-05-05,0.3
2011-05-06,0.3
2011-05-09,0.3
2011-05-10,0.3
2011-05-11,0.3
2011-05-12,0.3
2011-05-13,0.3
2011-05-16,0.3
2011-05-17,0.3
2011-05-18,0.3
2011-05-19,0.3
2011-05-20,0.3
2011-05-23,0.3
2011-05-24,0.3
2011-05-25,0.3
2011-05-26,0.3
2011-05-27,0.3
2011-05-31,0.3
2011-06-01,0.3118932660592719
2011-06-02,0.3
2011-06-03,0.3
2011-06-06,0.33096376032414065
2011-06-07,0.3
2011-06-08,0.35923484356041513
2011-06-09,0.3
2011-06-10,0.3699641694879715
2011-06-13,0.4367200538661329
2011-06-14,0.32198484490023305
