Date,XLK,XLC,XLY,XLE,XLI,XLV,XLP,XLB
2010-01-04,,,,,,,,
2010-01-05,-0.001289773356615509,,0.0036666820641952924,0.008162004769754372,0.0035308651181560347,-0.009807059354267067,0.00037519282907427787,0.003233336158622313
2010-01-06,-0.01118727272523401,,0.0013283483207295887,0.011974501684986816,0.0021112290997744587,0.010223461771924125,-0.0007497703501384567,0.016994131354467035
2010-01-07,-0.003916501035025943,,0.008291762126332314,-0.0014996832814592187,0.010885399699122056,0.0034788399448566487,0.0,-0.0077788714604948295
2010-01-08,0.006553029217110762,,-0.00032890006486829826,0.006509989789065029,0.015977432372312972,0.0015753604020853906,-0.0033753287370382745,0.013937068371551398
2010-01-11,-0.0039061993924055516,,-0.001974432845831875,-0.0013271905561147435,0.01093966637733712,0.005664458662020255,0.002634109545029073,-0.005440738126236688
2010-01-12,-0.01089302421988736,,-0.012858473626614075,-0.014447054717999785,-0.008115438711038259,-0.007196576497150553,0.005630996887408868,-0.019004035651821183
2010-01-13,0.009691455345302469,,0.011356123422230135,0.003706874076409461,0.004090742480348908,0.013236353474334939,0.007091741094758186,0.01174062197933523
2010-01-14,0.002617801317696511,,0.0,0.002854073545826674,0.0,0.00902013157601278,-0.0029648536084271315,-0.012184283833684417
2010-01-15,-0.013925325558955204,,-0.009907642252659832,-0.008034833931980345,-0.012902941191461736,-0.006781498864418811,-0.004832821017290989,-0.00734211690846176
2010-01-19,0.01721121055881869,,0.013342329419103738,0.00911222542374257,0.011008026751088806,0.024208636151882068,0.005977220477678458,0.015976285009009272
2010-01-20,-0.016052043882965994,,-0.013495925448084978,-0.015552017519405825,-0.015311612177680622,-0.008484815562623371,-0.00742688391065649,-0.017763431875435054
2010-01-21,-0.01058211503586004,,-0.012679078362787588,-0.020383890000878035,-0.023151422612727512,-0.021699399300476374,-0.01421609842596172,-0.04328489423588511
2010-01-22,-0.034759045245308484,,-0.01926340373603208,-0.023756369917764864,-0.01521020663766881,-0.010934298140584886,-0.002277254655644212,-0.019832801821634827
2010-01-25,0.008310028744240583,,0.0051690687650591816,0.006572979350099928,0.006465265004006238,0.0,0.0019024013016382124,0.008852162031141697
2010-01-26,-0.0027476866324736005,,0.0013711541831860075,-0.006352723774334157,-0.004282458453502835,-0.00568513088145961,-0.0011393410624854772,-0.014101672033681067
2010-01-27,0.008264683945968576,,0.0017115759335806224,-0.003906995248073142,0.0028671584251360738,0.006988703479489988,0.002280378430414398,-0.008582816621384382
